"visit_id","cfb_plot_num","round","day","time_visit","type_plot","observer","Coal Tit","Crested Tit","Goldcrest","European Robin","Common Chaffinch","Eurasian Blackbird","Eurasian Wren","Mistle Thrush","Common Chiffchaff","Song Thrush","Great Tit","Eurasian Jay","Fieldfare","Green Woodpecker","Carrion Crow","Blue Tit","Eurasian Blackcap","Eurasian Treecreeper","Firecrest","Great Spotted Woodpecker","Goldfinch","Eurasian Nuthatch","Eurasian Bullfinch","Common Buzzard","Wood Pigeon","Greenfinch","Red Crossbill","Short-toed Treecreeper","Common Redstart","Common Raven","Long-tailed Tit","Eurasian Siskin","Dunnock","Eurasian Skylark","Willow Warbler","Black Redstart","Yellowhammer","Rook","Spotted Flycatcher","Hawfinch","Eurasian Magpie","Marsh Tit","Hooded Crow","Garden Warbler","Black Woodpecker","Willow Tit"
"20230417075200.171","171",1,2023-04-17,2023-04-17 07:52:00,"path","Raphael",1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230417084000.171","171",1,2023-04-17,2023-04-17 08:40:00,"road","Raphael",1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230417094300.171","171",1,2023-04-17,2023-04-17 09:43:00,"forest","Raphael",1,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230417104700.171","171",1,2023-04-17,2023-04-17 10:47:00,"edge","Raphael",2,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230419064000.114","114",1,2023-04-19,2023-04-19 06:40:00,"road","Raphael",1,1,0,1,1,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230419074000.114","114",1,2023-04-19,2023-04-19 07:40:00,"forest","Raphael",1,0,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230419084700.114","114",1,2023-04-19,2023-04-19 08:47:00,"edge","Raphael",1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230419095900.114","114",1,2023-04-19,2023-04-19 09:59:00,"path","Raphael",1,1,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230421080800.098","98",1,2023-04-21,2023-04-21 08:08:00,"forest","Raphael",3,2,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230421091000.098","98",1,2023-04-21,2023-04-21 09:10:00,"path","Raphael",1,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230421100000.098","98",1,2023-04-21,2023-04-21 10:00:00,"road","Raphael",1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230421111200.098","98",1,2023-04-21,2023-04-21 11:12:00,"edge","Raphael",2,0,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230426070200.122","122",1,2023-04-26,2023-04-26 07:02:00,"road","Raphael-Mariela",2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230426075200.122","122",1,2023-04-26,2023-04-26 07:52:00,"edge","Raphael-Mariela",1,0,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230426084000.122","122",1,2023-04-26,2023-04-26 08:40:00,"forest","Raphael-Mariela",2,2,2,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230426093000.122","122",1,2023-04-26,2023-04-26 09:30:00,"path","Raphael-Mariela",1,2,2,1,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230427065800.114","114",2,2023-04-27,2023-04-27 06:58:00,"path","Raphael-Mariela",1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230427075500.114","114",2,2023-04-27,2023-04-27 07:55:00,"forest","Raphael-Mariela",1,1,2,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230427083800.114","114",2,2023-04-27,2023-04-27 08:38:00,"edge","Raphael-Mariela",2,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230427092200.114","114",2,2023-04-27,2023-04-27 09:22:00,"road","Raphael-Mariela",1,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20230429070400.050","50",1,2023-04-29,2023-04-29 07:04:00,"path","Raphael-Mariela",3,0,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
