"species","forest.abund","path.abund","road.abund","edge.abund","total.abund","forest.pres","path.pres","road.pres","edge.pres","total.pres"
"Common Chaffinch",42,40,37,36,155,21,21,21,21,84
"Coal Tit",29,36,35,26,126,18,22,21,17,78
"European Robin",32,31,32,24,119,19,22,20,17,78
"Eurasian Blackbird",33,30,28,26,117,20,19,21,18,78
"Goldcrest",29,35,18,16,98,15,19,12,14,60
"Eurasian Wren",30,20,19,15,84,21,16,14,14,65
"Eurasian Blackcap",16,20,24,21,81,11,13,15,15,54
"Common Chiffchaff",19,17,21,22,79,14,14,15,17,60
"Mistle Thrush",16,10,11,19,56,13,9,10,16,48
"Great Tit",10,9,11,24,54,7,9,9,19,44
"Song Thrush",15,11,10,15,51,12,8,10,14,44
"Wood Pigeon",13,8,9,9,39,10,8,7,7,32
"Firecrest",14,4,8,10,36,13,3,6,9,31
"Crested Tit",14,10,5,4,33,11,9,5,4,29
"Great Spotted Woodpecker",9,8,7,8,32,7,8,7,8,30
"Blue Tit",3,5,5,18,31,3,5,5,11,24
"Eurasian Treecreeper",10,7,6,1,24,9,5,6,1,21
"Eurasian Jay",5,6,7,4,22,4,6,4,4,18
"Red Crossbill",7,2,1,3,13,5,1,1,3,10
"Eurasian Siskin",2,5,2,4,13,2,3,1,4,10
"Greenfinch",2,1,4,5,12,2,1,4,4,11
"Short-toed Treecreeper",4,4,0,4,12,3,4,0,4,11
"Eurasian Nuthatch",2,5,0,3,10,2,4,0,3,9
"Eurasian Bullfinch",3,2,4,1,10,3,2,3,1,9
"Carrion Crow",1,0,1,7,9,1,0,1,5,7
"Common Redstart",1,0,3,4,8,1,0,1,3,5
"Dunnock",0,1,4,2,7,0,1,4,2,7
"Eurasian Skylark",0,0,0,7,7,0,0,0,5,5
"Fieldfare",0,0,0,6,6,0,0,0,4,4
"Goldfinch",2,0,1,2,5,1,0,1,2,4
"Long-tailed Tit",0,2,1,2,5,0,2,1,2,5
"Common Buzzard",2,0,1,1,4,1,0,1,1,3
"Hawfinch",0,0,2,2,4,0,0,2,2,4
"Willow Warbler",0,0,1,2,3,0,0,1,2,3
"Yellowhammer",0,0,0,3,3,0,0,0,3,3
"Spotted Flycatcher",1,1,0,1,3,1,1,0,1,3
"Marsh Tit",1,0,1,1,3,1,0,1,1,3
"Green Woodpecker",0,1,0,1,2,0,1,0,1,2
"Common Raven",1,0,1,0,2,1,0,1,0,2
"Black Redstart",0,0,1,1,2,0,0,1,1,2
"Garden Warbler",0,1,0,1,2,0,1,0,1,2
"Black Woodpecker",1,0,1,0,2,1,0,1,0,2
"Rook",0,0,0,1,1,0,0,0,1,1
"Eurasian Magpie",0,0,1,0,1,0,0,1,0,1
"Hooded Crow",0,0,0,1,1,0,0,0,1,1
"Willow Tit",0,0,1,0,1,0,0,1,0,1
