"s.forest","s.path","s.road","s.edge","index","stat","p.value"
0,0,0,1,4,0.420098726054419,0.002
1,1,0,0,5,0.364770287314348,0.003
0,0,0,1,4,0.394823342646046,0.003
0,0,0,1,4,0.399945589335258,0.004
1,0,0,0,1,0.342624144432096,0.006
0,0,0,1,4,0.325395686727984,0.01
0,0,0,1,4,0.311642959826578,0.025
1,1,0,0,5,0.298866457117815,0.046
0,0,0,1,4,0.325395686727984,0.063
1,0,0,1,7,0.247487373415292,0.105
1,1,1,0,11,0.254164283887674,0.111
0,1,1,0,8,0.220947270666443,0.148
1,0,0,1,7,0.221766381286372,0.165
1,1,1,0,11,0.218217890235992,0.192
1,0,0,0,1,0.223383525804385,0.21
0,0,1,0,3,0.218217890235992,0.264
1,1,0,1,12,0.210042012604201,0.303
0,0,1,1,10,0.218217890235992,0.33
0,1,0,1,9,0.194053868205945,0.359
0,0,1,1,10,0.18190171877725,0.429
1,0,0,1,7,0.161151674317395,0.457
1,1,0,0,5,0.131236615003529,0.631
0,0,1,1,10,0.163663417676994,0.642
0,0,1,1,10,0.187867287325545,0.644
1,0,0,0,1,0.133878406485072,0.648
0,1,1,1,14,0.130334223953573,0.705
0,1,0,1,9,0.12897053875569,0.706
1,0,1,0,6,0.12936924547063,0.745
1,1,0,0,5,0.11153692362852,0.753
0,1,0,1,9,0.147264208102145,0.765
0,0,1,1,10,0.109926553217786,0.787
0,1,1,0,8,0.0828315366562581,0.829
1,0,0,1,7,0.123403510468459,0.904
1,1,0,1,12,0.0498754668053814,0.989
0,1,0,1,9,0.152498570332605,1
1,0,1,1,13,0.102062072615966,1
1,0,1,0,6,0.152498570332605,1
0,0,1,1,10,0.152498570332605,1
0,0,0,1,4,0.185695338177052,1
1,1,0,1,12,0.108465228909328,1
0,0,1,0,3,0.185695338177052,1
1,0,1,1,13,0.108465228909328,1
0,0,0,1,4,0.185695338177052,1
0,1,0,1,9,0.152498570332605,1
1,0,1,0,6,0.152498570332605,1
0,0,1,0,3,0.185695338177052,1
