"s.forest","s.path","s.road","s.edge","index","stat","p.value"
0,0,0,1,4,0.419891104865182,0.001
0,0,0,1,4,0.425115150948852,0.005
0,0,0,1,4,0.377964473009227,0.009
1,0,0,1,7,0.309260944245374,0.038
0,0,0,1,4,0.325395686727984,0.047
1,0,0,0,1,0.283708519379988,0.053
0,0,0,1,4,0.315203619229767,0.053
0,0,0,1,4,0.294627825494395,0.061
0,1,1,0,8,0.286445949615773,0.074
1,1,1,0,11,0.261662354705779,0.075
1,1,0,0,5,0.265930212366348,0.085
1,0,0,1,7,0.228217732293819,0.124
0,1,0,0,2,0.225374467927605,0.208
0,0,1,0,3,0.218217890235992,0.218
1,1,0,1,12,0.218217890235992,0.24
0,1,1,0,8,0.21483446221183,0.252
1,0,0,1,7,0.21483446221183,0.271
0,0,1,1,10,0.218217890235992,0.329
1,1,0,1,12,0.194870940738489,0.336
0,0,0,1,4,0.198387070442798,0.363
1,0,0,1,7,0.181818181818182,0.395
0,0,1,1,10,0.171802033186012,0.522
0,0,1,1,10,0.140028008402801,0.559
0,0,1,1,10,0.187867287325545,0.64
0,1,0,1,9,0.143222974807887,0.679
1,0,1,0,6,0.143222974807886,0.683
1,0,0,0,1,0.109108945117996,0.69
0,1,0,1,9,0.147264208102145,0.737
0,0,0,1,4,0.112687233963802,0.817
0,1,0,0,2,0.0975900072948533,0.862
1,0,1,0,6,0.112508790092602,0.862
1,0,1,1,13,0.125988157669742,0.892
0,1,0,0,2,0,1
0,1,0,1,9,0.152498570332605,1
0,1,0,1,9,0.0479463301485383,1
1,0,1,1,13,0.108465228909328,1
1,0,1,0,6,0.152498570332605,1
0,0,1,1,10,0.152498570332605,1
0,0,0,1,4,0.185695338177052,1
1,1,0,1,12,0.108465228909328,1
0,0,1,0,3,0.185695338177052,1
1,0,1,1,13,0.108465228909328,1
0,0,0,1,4,0.185695338177052,1
0,1,0,1,9,0.152498570332605,1
1,0,1,0,6,0.152498570332605,1
0,0,1,0,3,0.185695338177052,1
