"plot","Mass","Wing.Length","Hand.Wing.Index","loc","type","round"
"38_forest_1",24.4646666666667,78.56,25.4066666666667,"38","forest","1"
"38_forest_2",48.8394444444444,83.85,24.6333333333333,"38","forest","2"
"44_forest_1",30.4469230769231,82.5923076923077,23.4538461538462,"44","forest","1"
"44_forest_2",42.050625,90.58125,24.36875,"44","forest","2"
"45_forest_1",63.6510526315789,95.6052631578947,24.3842105263158,"45","forest","1"
"45_forest_2",52.8476470588235,86.5470588235294,23.6470588235294,"45","forest","2"
"50_forest_1",21.3538461538462,70.6692307692308,22.6,"50","forest","1"
"50_forest_2",81.7075,100.875,24.385,"50","forest","2"
"69_forest_1",76.4668965517241,105.106896551724,25.4275862068965,"69","forest","1"
"69_forest_2",69.06,99.055,23.755,"69","forest","2"
"89_forest_1",65.7454166666667,90.4625,24.8708333333333,"89","forest","1"
"89_forest_2",59.5042105263158,93.078947368421,24.5578947368421,"89","forest","2"
"98_forest_1",39.1023076923077,85.8,23.3692307692308,"98","forest","1"
"98_forest_2",31.5566666666667,80.0583333333333,23.8583333333333,"98","forest","2"
"114_forest_1",40.4028571428571,85.5214285714286,23.3571428571429,"114","forest","1"
"114_forest_2",44.7046153846154,89.2923076923077,22.6769230769231,"114","forest","2"
"122_forest_1",71.17,93.52,25.09,"122","forest","1"
"122_forest_2",124.674375,120.01875,25.925,"122","forest","2"
"171_forest_1",19.5525,70.8,23.475,"171","forest","1"
"171_forest_2",50.8828571428571,95.4785714285714,22.5214285714286,"171","forest","2"
"188_forest_1",90.3063636363636,102.304545454545,26.25,"188","forest","1"
"188_forest_2",22.1628571428571,71.9142857142857,22.1285714285714,"188","forest","2"
"38_path_1",12.6957142857143,66.8214285714286,22.5428571428571,"38","path","1"
"38_path_2",46.8394736842105,85.3368421052632,25.8210526315789,"38","path","2"
"44_path_1",36.2657142857143,84.3142857142857,20.4857142857143,"44","path","1"
"44_path_2",21.9866666666667,71.5777777777778,21.1333333333333,"44","path","2"
"45_path_1",64.5468421052632,97.4736842105263,24.4473684210526,"45","path","1"
"45_path_2",57.3047368421053,92.4947368421053,24.4263157894737,"45","path","2"
"50_path_1",70.8683333333333,92.6583333333333,22.95,"50","path","1"
"50_path_2",38.6333333333333,88.4333333333333,24.9888888888889,"50","path","2"
"69_path_1",18.4564285714286,71.8142857142857,22.3928571428571,"69","path","1"
"69_path_2",50.0761111111111,83.8277777777778,23.3722222222222,"69","path","2"
"89_path_1",24.9752631578947,74.9421052631579,22.1736842105263,"89","path","1"
"89_path_2",62.4147368421053,96.4526315789474,24.4684210526316,"89","path","2"
"98_path_1",47.555,95.6916666666666,23.7416666666667,"98","path","1"
"98_path_2",35.3328571428571,85.0857142857143,24.0357142857143,"98","path","2"
"114_path_1",59.4225,100.066666666667,23.4583333333333,"114","path","1"
"114_path_2",24.1575,73.875,22.0375,"114","path","2"
"122_path_1",28.5014285714286,76.6285714285714,21.4571428571429,"122","path","1"
"122_path_2",64.0821739130435,99.0565217391304,24.2478260869565,"122","path","2"
"171_path_1",34.9811111111111,82.1666666666667,22.8444444444444,"171","path","1"
"171_path_2",21.7516666666667,73.625,24.45,"171","path","2"
"188_path_1",44.1678260869565,82.4565217391304,25.2347826086957,"188","path","1"
"188_path_2",29.6272222222222,81.4944444444444,25.65,"188","path","2"
"38_road_1",22.4545454545455,73.5272727272727,24.8454545454545,"38","road","1"
"38_road_2",74.505294117647,90.8941176470588,24.6470588235294,"38","road","2"
"44_road_1",74.0676923076923,100.876923076923,26.2692307692308,"44","road","1"
"44_road_2",35.44,85.4714285714286,23.5857142857143,"44","road","2"
"45_road_1",30.175,82.425,24.49375,"45","road","1"
"45_road_2",88.1041176470588,106.917647058824,26.4470588235294,"45","road","2"
"50_road_1",39.778125,89.63125,23.73125,"50","road","1"
"50_road_2",54.1186666666667,94.4933333333333,23.8266666666667,"50","road","2"
"69_road_1",72.8463636363636,105.727272727273,24.4363636363636,"69","road","1"
"69_road_2",59.009375,90.54375,24.35625,"69","road","2"
"89_road_1",42.1346666666667,85.2866666666667,22.6466666666667,"89","road","1"
"89_road_2",37.2019047619048,83.6380952380952,21.5666666666667,"89","road","2"
"98_road_1",80.072,101.673333333333,23.9533333333333,"98","road","1"
"98_road_2",93.1835,102.485,24.515,"98","road","2"
"114_road_1",32.4707692307692,81.2,22.8076923076923,"114","road","1"
"114_road_2",25.8366666666667,75.8666666666667,22.6833333333333,"114","road","2"
"122_road_1",106.772727272727,101.909090909091,25.1727272727273,"122","road","1"
"122_road_2",28.39,76.8,22.5,"122","road","2"
"171_road_1",25.0933333333333,79.8833333333333,24.35,"171","road","1"
"171_road_2",33.1623529411765,86.4058823529412,25.3176470588235,"171","road","2"
"188_road_1",32.3871428571429,83.4,24.2214285714286,"188","road","1"
"188_road_2",40.4146666666667,89.2533333333333,22.86,"188","road","2"
"38_edge_1",51.5335,89.79,23.35,"38","edge","1"
"38_edge_2",53.968947368421,88.4894736842105,24.5315789473684,"38","edge","2"
"44_edge_1",34.3623529411765,85.1294117647059,24.2058823529412,"44","edge","1"
"44_edge_2",37.8873333333333,87.4133333333333,24.7933333333333,"44","edge","2"
"45_edge_1",133.753636363636,129.618181818182,27.8727272727273,"45","edge","1"
"45_edge_2",118.2705,120.29,27.72,"45","edge","2"
"50_edge_1",29.1861538461539,80.7923076923077,24.2307692307692,"50","edge","1"
"50_edge_2",106.476538461538,113.019230769231,26.0076923076923,"50","edge","2"
"69_edge_1",30.2585,83.935,23.875,"69","edge","1"
"69_edge_2",51.674347826087,101.373913043478,26.3086956521739,"69","edge","2"
"89_edge_1",35.5423529411765,86.4117647058824,25.2,"89","edge","1"
